[2025-05-11 19:42:55.151992 +06:00] INFO [src/main.rs:69] 
Executing Sqlite3 Prerequisites...
[2025-05-11 19:43:00.003941 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.035401 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.128054 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.143916 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.158895 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.158975 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.205556 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.205582 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:00.221448 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.242398 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.288365 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.381266 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.598927 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.630577 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.630589 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.630625 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.645191 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.661955 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.819028 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.850046 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.881458 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.912167 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.912183 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.942738 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.974574 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.974573 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.974602 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:02.974651 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:03.020354 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:03.020411 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:03.066485 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
[2025-05-11 19:43:03.318300 +06:00] ERROR [C:\Users\Sabbir\.cargo\registry\src\index.crates.io-6f17d22bba15001f\actix-redis-0.12.0\src\redis.rs:81] Can not connect to redis server: I/O error
